order_id,customer_id,order_date,status,created_at,updated_at
IINI91PP812,697,2022-01-30,Success,2022-01-30,2022-01-31
ONNA03MN757,172,2021-01-03,Success,2021-01-03,2021-01-04
NPCC44AC852,824,2022-09-08,Success,2022-09-08,2022-09-09
MMIM69AM147,947,2021-06-26,Success,2021-06-26,2021-06-27
MCIA31MO690,336,2021-07-09,Success,2021-07-09,2021-07-10
IANC47AM423,965,2022-10-04,Canceled,2022-10-04,2022-10-04
NMCI31AN413,680,2021-03-09,Success,2021-03-09,2021-03-10
NPIP33OI307,994,2022-02-14,Success,2022-02-14,2022-02-15
AOCO44AC037,128,2022-08-03,Success,2022-08-03,2022-08-04
AAPP73OP114,624,2021-11-01,Success,2021-11-01,2021-11-02
APMI05CP558,537,2022-02-01,Success,2022-02-01,2022-02-02
OOMN48CC152,926,2022-05-16,Success,2022-05-16,2022-05-17
POOA33NM414,433,2021-08-01,Success,2021-08-01,2021-08-02
CMCI13CI706,311,2022-10-05,Success,2022-10-05,2022-10-06
IMMM96AC528,774,2021-04-08,Success,2021-04-08,2021-04-09
AIAP53NA160,741,2022-09-30,Success,2022-09-30,2022-10-01
PMMC74AI218,658,2022-09-10,Success,2022-09-10,2022-09-11
AAMI65AP544,963,2022-02-04,Success,2022-02-04,2022-02-05
POCO45OC178,331,2021-09-28,Success,2021-09-28,2021-09-29
PNPP59CM226,662,2021-03-10,Success,2021-03-10,2021-03-11
MPAI82AO102,389,2021-10-01,Success,2021-10-01,2021-10-02
AIMN31PN526,769,2022-04-13,Success,2022-04-13,2022-04-14
IANC05AP215,294,2022-08-29,Success,2022-08-29,2022-08-30
NOCO89CC732,749,2022-12-13,Success,2022-12-13,2022-12-14
NMIN32OO063,314,2021-11-19,Canceled,2021-11-19,2021-11-19
PNCA57MM691,377,2022-08-27,Success,2022-08-27,2022-08-28
OCIA09CI804,641,2021-09-02,Success,2021-09-02,2021-09-03
NPOA02PO977,570,2022-07-31,Success,2022-07-31,2022-08-01
IONN86ON753,234,2021-08-24,Success,2021-08-24,2021-08-25
CCOA32NI392,784,2021-07-02,Success,2021-07-02,2021-07-03
ACMA24CI703,512,2022-07-28,Success,2022-07-28,2022-07-29
OAAO43PI306,710,2021-05-06,Success,2021-05-06,2021-05-07
OMAA44IN067,824,2022-04-16,Success,2022-04-16,2022-04-17
MMMA64CA016,641,2022-06-15,Success,2022-06-15,2022-06-16
MCAM79PC949,949,2021-07-26,Success,2021-07-26,2021-07-27
OIAN87PA120,791,2021-02-12,Success,2021-02-12,2021-02-13
NAPI27AC059,158,2021-06-29,Success,2021-06-29,2021-06-30
NIMC69AC690,425,2021-12-09,Success,2021-12-09,2021-12-10
MPON10IM799,972,2021-11-24,Success,2021-11-24,2021-11-25
AOCO38NC466,915,2021-04-19,Success,2021-04-19,2021-04-20
PPMI38OP255,173,2021-06-23,Success,2021-06-23,2021-06-24
AIOP55NC262,57,2022-04-29,Success,2022-04-29,2022-04-30
OACO22AM378,921,2021-06-03,Success,2021-06-03,2021-06-04
OPAP39PA948,512,2022-11-10,Success,2022-11-10,2022-11-11
CNAI72NA384,353,2021-10-18,Success,2021-10-18,2021-10-19
OAPI88PI356,873,2022-10-04,Success,2022-10-04,2022-10-05
NNNC99AM638,195,2022-08-02,Success,2022-08-02,2022-08-03
ANIM79IC941,587,2021-09-15,Success,2021-09-15,2021-09-16
AIPM98PA153,130,2021-05-11,Success,2021-05-11,2021-05-12
APIA13OA053,148,2021-05-09,Success,2021-05-09,2021-05-10
IAIC09AP270,627,2021-01-19,Success,2021-01-19,2021-01-20
ANAP15PM799,830,2022-07-05,Success,2022-07-05,2022-07-06
PAOC53PN688,195,2022-06-16,Success,2022-06-16,2022-06-17
OIOI32MP908,279,2021-01-23,Success,2021-01-23,2021-01-24
MIMA34AN682,249,2021-12-17,Canceled,2021-12-17,2021-12-17
PAOC88IO676,373,2021-12-07,Success,2021-12-07,2021-12-08
NINI19AC099,240,2021-06-07,Canceled,2021-06-07,2021-06-07
PPOA99NO002,194,2021-11-15,Success,2021-11-15,2021-11-16
AACN83AO563,584,2021-06-21,Success,2021-06-21,2021-06-22
NMAP19AN791,351,2021-08-31,Success,2021-08-31,2021-09-01
NOMI03AP007,601,2022-12-26,Success,2022-12-26,2022-12-27
COMC90AA647,57,2022-03-23,Success,2022-03-23,2022-03-24
NCOA25AO528,147,2021-06-21,Success,2021-06-21,2021-06-22
IMIO06MN816,472,2021-08-10,Success,2021-08-10,2021-08-11
IOMI98NA353,741,2021-08-18,Success,2021-08-18,2021-08-19
PAMO24IA520,251,2021-06-29,Success,2021-06-29,2021-06-30
MMIN67AO501,843,2021-01-13,Success,2021-01-13,2021-01-14
ONCN30IM800,959,2022-02-07,Success,2022-02-07,2022-02-08
NOOA19IN647,274,2021-10-11,Success,2021-10-11,2021-10-12
PAAA12CC507,467,2021-07-04,Success,2021-07-04,2021-07-05
OAPI73NO454,379,2021-04-20,Success,2021-04-20,2021-04-21
OIAO51NA078,100,2022-09-11,Success,2022-09-11,2022-09-12
CNOA25II651,152,2022-04-10,Success,2022-04-10,2022-04-11
AANA06OI203,58,2021-04-27,Success,2021-04-27,2021-04-28
CNIP71NA469,869,2021-09-22,Success,2021-09-22,2021-09-23
POAO76MA213,655,2021-05-11,Success,2021-05-11,2021-05-12
PMAO12MA259,577,2021-06-16,Canceled,2021-06-16,2021-06-16
MAIA38NN545,874,2022-12-10,Success,2022-12-10,2022-12-11
AMMA68CO150,341,2022-04-27,Success,2022-04-27,2022-04-28
PMAM47PA712,487,2022-02-26,Success,2022-02-26,2022-02-27
MNOA28OI825,252,2022-10-05,Success,2022-10-05,2022-10-06
PIPI22OP627,231,2021-10-09,Success,2021-10-09,2021-10-10
OACC57AP958,713,2022-11-01,Success,2022-11-01,2022-11-02
AMIN13IC279,541,2021-11-17,Success,2021-11-17,2021-11-18
NAIO49IO830,334,2021-08-25,Success,2021-08-25,2021-08-26
ANMC84PN129,249,2021-01-01,Success,2021-01-01,2021-01-02
MOIO90AA471,55,2021-05-13,Success,2021-05-13,2021-05-14
OOOO68CA089,538,2022-01-14,Success,2022-01-14,2022-01-15
CMAI45ON647,211,2022-02-16,Success,2022-02-16,2022-02-17
OCCM14AI521,519,2022-05-28,Success,2022-05-28,2022-05-29
OMMI99MN032,814,2022-05-16,Canceled,2022-05-16,2022-05-16
MCCA82OO191,34,2021-12-20,Canceled,2021-12-20,2021-12-20
ICAC00OA459,619,2021-06-29,Canceled,2021-06-29,2021-06-29
AANA12IC317,671,2021-10-13,Success,2021-10-13,2021-10-14
MNCN58OA459,625,2021-10-20,Canceled,2021-10-20,2021-10-20
NANI29IP197,452,2021-12-12,Success,2021-12-12,2021-12-13
NCNC73CP427,625,2021-04-18,Success,2021-04-18,2021-04-19
AOIA36CO047,23,2022-09-12,Success,2022-09-12,2022-09-13
OAPC62IO954,863,2022-01-01,Success,2022-01-01,2022-01-02
ACIA68OP693,154,2021-06-26,Canceled,2021-06-26,2021-06-26
PICC22OM254,86,2021-05-09,Success,2021-05-09,2021-05-10
ICCM58NO572,780,2021-08-08,Success,2021-08-08,2021-08-09
OCAA15NA963,763,2021-07-08,Success,2021-07-08,2021-07-09
AMCA81OP636,941,2022-12-07,Success,2022-12-07,2022-12-08
CAMM02CA565,615,2022-01-23,Success,2022-01-23,2022-01-24
COIC71PA250,342,2022-10-19,Success,2022-10-19,2022-10-20
OAAP03NA440,399,2022-10-26,Success,2022-10-26,2022-10-27
MMPP04CA374,541,2021-08-23,Success,2021-08-23,2021-08-24
MAAA08IA945,519,2021-01-21,Success,2021-01-21,2021-01-22
ANIA33CO885,704,2022-08-09,Success,2022-08-09,2022-08-10
AOOA25MN383,977,2021-12-19,Success,2021-12-19,2021-12-20
CAII50MN024,755,2021-07-29,Success,2021-07-29,2021-07-30
OPAM94PA077,704,2022-01-25,Success,2022-01-25,2022-01-26
AOPI32OA172,521,2022-08-20,Success,2022-08-20,2022-08-21
MPAM55AN316,804,2021-07-26,Canceled,2021-07-26,2021-07-26
ACAO29IO121,275,2022-02-06,Success,2022-02-06,2022-02-07
CAPA60OM398,569,2022-07-16,Success,2022-07-16,2022-07-17
AACO70PI342,917,2022-09-23,Success,2022-09-23,2022-09-24
AOPA85CI446,556,2022-03-19,Success,2022-03-19,2022-03-20
PNNA38NA242,517,2022-01-11,Success,2022-01-11,2022-01-12
MAAC52OP341,523,2021-02-24,Success,2021-02-24,2021-02-25
CCPA94IP108,175,2022-03-12,Success,2022-03-12,2022-03-13
AMAI13OA534,20,2021-07-26,Success,2021-07-26,2021-07-27
IIMN16AN220,215,2021-10-11,Success,2021-10-11,2021-10-12
PCMI31CA899,390,2022-10-12,Success,2022-10-12,2022-10-13
CIAO00PA980,161,2022-01-07,Success,2022-01-07,2022-01-08
INOI47MA747,662,2022-12-05,Success,2022-12-05,2022-12-06
IANP54CC008,411,2022-08-18,Success,2022-08-18,2022-08-19
MNOC99MI447,794,2022-08-05,Success,2022-08-05,2022-08-06
OOAA73MO102,363,2022-10-28,Success,2022-10-28,2022-10-29
CPIP45PN493,969,2022-01-25,Success,2022-01-25,2022-01-26
ANNP53ON660,645,2022-11-27,Success,2022-11-27,2022-11-28
OPAO33CI957,121,2022-12-08,Canceled,2022-12-08,2022-12-08
MMNO68NC435,858,2022-06-20,Success,2022-06-20,2022-06-21
MPAC80NN449,454,2021-11-02,Success,2021-11-02,2021-11-03
CAMC82AC167,221,2021-03-08,Success,2021-03-08,2021-03-09
NNCC95NO341,322,2021-02-11,Success,2021-02-11,2021-02-12
IMNA92CI523,958,2021-03-02,Success,2021-03-02,2021-03-03
AIAP00PO667,510,2021-04-28,Success,2021-04-28,2021-04-29
ACAA52AA708,257,2021-06-18,Success,2021-06-18,2021-06-19
INPA61IP460,750,2021-02-05,Success,2021-02-05,2021-02-06
AMAI28CO393,271,2022-09-20,Success,2022-09-20,2022-09-21
AOCA18AO742,609,2021-08-23,Success,2021-08-23,2021-08-24
APOP64AM478,802,2021-12-30,Success,2021-12-30,2021-12-31
NOAN53IO324,333,2022-05-12,Success,2022-05-12,2022-05-13
NPOA52OA663,273,2021-07-22,Success,2021-07-22,2021-07-23
APCN68CN588,768,2021-08-26,Success,2021-08-26,2021-08-27
MNII91PN842,595,2021-07-11,Success,2021-07-11,2021-07-12
NOMP37CO140,112,2022-12-09,Success,2022-12-09,2022-12-10
IOIO16CI960,704,2021-07-24,Success,2021-07-24,2021-07-25
OIPA29CI676,566,2021-11-25,Success,2021-11-25,2021-11-26
ACIA47MP097,127,2022-11-10,Success,2022-11-10,2022-11-11
PAAN19IA818,284,2021-09-18,Success,2021-09-18,2021-09-19
PIMM37NI430,375,2022-10-11,Success,2022-10-11,2022-10-12
PACC06AA147,20,2021-08-07,Success,2021-08-07,2021-08-08
ICMI63CI757,400,2021-03-19,Success,2021-03-19,2021-03-20
MIIM37AM744,464,2022-01-01,Success,2022-01-01,2022-01-02
CACP44NP473,429,2021-01-19,Success,2021-01-19,2021-01-20
CNNI82CN741,469,2022-09-14,Success,2022-09-14,2022-09-15
IOPO20CA241,60,2021-03-21,Success,2021-03-21,2021-03-22
ANNA22CI667,395,2021-04-30,Success,2021-04-30,2021-05-01
PNPI22NC669,560,2021-12-24,Success,2021-12-24,2021-12-25
ANOA49AI603,144,2021-07-27,Success,2021-07-27,2021-07-28
CAMN30MA261,673,2021-02-13,Success,2021-02-13,2021-02-14
AAMA29CO416,724,2021-08-16,Success,2021-08-16,2021-08-17
AMAA16AA563,761,2021-05-05,Success,2021-05-05,2021-05-06
IANA94AA348,437,2022-03-30,Success,2022-03-30,2022-03-31
OCAO76OO959,678,2021-10-10,Success,2021-10-10,2021-10-11
MNAI21IO686,763,2021-08-01,Success,2021-08-01,2021-08-02
IOIN03CA202,515,2022-09-10,Success,2022-09-10,2022-09-11
IMCN59AA546,203,2022-10-08,Success,2022-10-08,2022-10-09
AIPM47CP440,636,2021-06-28,Canceled,2021-06-28,2021-06-28
CMPO17NA869,867,2021-02-28,Success,2021-02-28,2021-03-01
IMCP67AP287,710,2021-04-30,Success,2021-04-30,2021-05-01
NIOC61PP092,69,2021-07-25,Success,2021-07-25,2021-07-26
ONOO13PI716,457,2021-11-18,Success,2021-11-18,2021-11-19
AAIP41OA667,837,2022-06-24,Success,2022-06-24,2022-06-25
CAPA21NP882,537,2021-12-13,Success,2021-12-13,2021-12-14
NICN02IP886,501,2021-03-15,Success,2021-03-15,2021-03-16
PCAP03OA082,258,2021-12-14,Success,2021-12-14,2021-12-15
IAIN81ON837,691,2022-10-31,Canceled,2022-10-31,2022-10-31
AMAO47MN537,427,2021-01-02,Success,2021-01-02,2021-01-03
MNPI98IM019,154,2022-12-20,Success,2022-12-20,2022-12-21
APPM29ON379,335,2021-12-14,Success,2021-12-14,2021-12-15
AONP53NM019,61,2022-05-28,Success,2022-05-28,2022-05-29
OCNN95AM377,958,2021-07-23,Success,2021-07-23,2021-07-24
AOCC95PO355,144,2022-10-26,Success,2022-10-26,2022-10-27
AAOP95AM516,821,2021-12-15,Success,2021-12-15,2021-12-16
IPCM27NI557,263,2022-03-01,Success,2022-03-01,2022-03-02
IINA69CA714,626,2021-04-20,Canceled,2021-04-20,2021-04-20
AMCC51AA677,554,2021-06-29,Success,2021-06-29,2021-06-30
OCAI74CM231,700,2022-03-31,Success,2022-03-31,2022-04-01
PPNM27NP543,500,2021-06-23,Success,2021-06-23,2021-06-24
AOIA76OM589,255,2022-09-16,Success,2022-09-16,2022-09-17
PNPA31MP377,74,2022-10-20,Success,2022-10-20,2022-10-21
MICA50MP037,974,2021-03-11,Success,2021-03-11,2021-03-12
NAAN04AI520,129,2021-12-06,Success,2021-12-06,2021-12-07
CCNN74NA591,991,2021-12-10,Success,2021-12-10,2021-12-11
POCA79IP191,275,2021-11-05,Success,2021-11-05,2021-11-06
MINA58NN914,114,2022-07-06,Success,2022-07-06,2022-07-07
ACIC68AO866,601,2022-05-03,Success,2022-05-03,2022-05-04
NMIA04CA762,59,2022-09-23,Success,2022-09-23,2022-09-24
NNCP32NI783,553,2021-10-09,Success,2021-10-09,2021-10-10
NIIO74CM222,512,2022-10-30,Success,2022-10-30,2022-10-31
CMOA61II113,162,2021-05-05,Success,2021-05-05,2021-05-06
OAAN33CI669,82,2022-10-06,Success,2022-10-06,2022-10-07
NNCO51AN178,885,2021-02-05,Canceled,2021-02-05,2021-02-05
PNOM47CN306,191,2022-11-29,Success,2022-11-29,2022-11-30
PAAO54AO440,279,2021-12-06,Success,2021-12-06,2021-12-07
PIAP44CA204,160,2022-01-13,Success,2022-01-13,2022-01-14
AAIO34PI934,456,2022-01-17,Success,2022-01-17,2022-01-18
CMIP88NA589,565,2022-10-10,Success,2022-10-10,2022-10-11
IPOI55CA161,464,2021-01-15,Success,2021-01-15,2021-01-16
NANC31PA286,418,2022-06-15,Success,2022-06-15,2022-06-16
NAMP23CI212,231,2021-08-25,Success,2021-08-25,2021-08-26
OMCM79AC353,905,2021-12-02,Success,2021-12-02,2021-12-03
OMCP32AM407,836,2021-06-22,Success,2021-06-22,2021-06-23
AOOP20CA601,237,2021-08-13,Success,2021-08-13,2021-08-14
MNCM89IC807,116,2021-01-01,Success,2021-01-01,2021-01-02
AAOI49CI264,200,2021-11-16,Success,2021-11-16,2021-11-17
OMMP82MP563,424,2021-05-11,Success,2021-05-11,2021-05-12
INIA14CI242,150,2022-06-19,Success,2022-06-19,2022-06-20
NIAA24AI565,963,2022-11-11,Success,2022-11-11,2022-11-12
OANI48OP574,155,2021-03-15,Success,2021-03-15,2021-03-16
PINI84CC225,387,2021-06-10,Success,2021-06-10,2021-06-11
CMNO69CI547,424,2022-05-08,Success,2022-05-08,2022-05-09
AANP00PA225,257,2021-09-14,Success,2021-09-14,2021-09-15
AOAO10PM553,508,2022-03-19,Success,2022-03-19,2022-03-20
COPA59AC328,465,2021-02-25,Success,2021-02-25,2021-02-26
PPCA56MP749,114,2021-02-13,Success,2021-02-13,2021-02-14
OMAA69CA525,43,2022-03-28,Success,2022-03-28,2022-03-29
OIPA33CO707,914,2021-12-01,Success,2021-12-01,2021-12-02
ACNC73OP088,454,2022-07-26,Canceled,2022-07-26,2022-07-26
NNPA33NA073,884,2022-12-10,Success,2022-12-10,2022-12-11
IONM47AA760,788,2022-08-03,Success,2022-08-03,2022-08-04
AIIN33NA060,864,2022-09-18,Success,2022-09-18,2022-09-19
CMAI85NO786,213,2021-09-24,Canceled,2021-09-24,2021-09-24
PMIC36OC462,348,2022-07-19,Success,2022-07-19,2022-07-20
ONAC00PM416,989,2022-12-31,Success,2022-12-31,2023-01-01
IOOA09PM311,208,2022-01-11,Success,2022-01-11,2022-01-12
OOCP27CM230,474,2022-06-03,Success,2022-06-03,2022-06-04
MAIA97ON803,789,2021-11-13,Success,2021-11-13,2021-11-14
AINN46MP083,122,2022-01-07,Success,2022-01-07,2022-01-08
NAAA96PA305,964,2021-01-02,Success,2021-01-02,2021-01-03
AAMA73AP965,362,2022-11-05,Success,2022-11-05,2022-11-06
AAAO61OP563,39,2022-03-11,Success,2022-03-11,2022-03-12
PCOC60NA273,727,2021-11-07,Success,2021-11-07,2021-11-08
NIAA20AP944,999,2021-09-26,Success,2021-09-26,2021-09-27
OINC15AC693,320,2022-12-20,Success,2022-12-20,2022-12-21
COCN21NP868,941,2021-01-10,Success,2021-01-10,2021-01-11
CPOA07AA907,452,2022-08-16,Success,2022-08-16,2022-08-17
MAMN79CP738,998,2022-01-17,Success,2022-01-17,2022-01-18
CAAC99AM151,880,2021-11-27,Success,2021-11-27,2021-11-28
CMCA26IP030,452,2022-08-31,Success,2022-08-31,2022-09-01
AMMN05AP739,786,2021-06-29,Success,2021-06-29,2021-06-30
IMAM35NP392,130,2021-05-22,Success,2021-05-22,2021-05-23
NACA19IM351,840,2021-11-21,Success,2021-11-21,2021-11-22
MAAI61NI596,648,2022-01-12,Success,2022-01-12,2022-01-13
IMNI07OA932,550,2021-02-06,Success,2021-02-06,2021-02-07
IIAA47AM818,479,2021-12-26,Success,2021-12-26,2021-12-27
ICOC39CA105,780,2022-02-20,Success,2022-02-20,2022-02-21
MINM16AM416,799,2021-05-25,Success,2021-05-25,2021-05-26
MOCM30NP399,769,2021-01-07,Success,2021-01-07,2021-01-08
MCAM07NI365,503,2022-03-25,Success,2022-03-25,2022-03-26
PICA89NP201,638,2022-07-28,Success,2022-07-28,2022-07-29
IIPP04OI559,323,2021-02-12,Success,2021-02-12,2021-02-13
IPPM29MA429,59,2021-11-11,Canceled,2021-11-11,2021-11-11
POAP94AA158,982,2021-10-17,Success,2021-10-17,2021-10-18
AMII92MO051,583,2022-01-28,Success,2022-01-28,2022-01-29
CACO65PO613,635,2022-12-14,Success,2022-12-14,2022-12-15
IANC06MA528,953,2021-05-15,Success,2021-05-15,2021-05-16
IAPI13PM894,190,2021-04-04,Success,2021-04-04,2021-04-05
PAMC92PA424,625,2021-06-09,Success,2021-06-09,2021-06-10
NMAA50PN291,789,2022-08-26,Success,2022-08-26,2022-08-27
CCAO54OO225,27,2022-01-02,Success,2022-01-02,2022-01-03
MOCM76NI909,588,2021-02-19,Success,2021-02-19,2021-02-20
AIIN78NN907,383,2022-03-09,Success,2022-03-09,2022-03-10
NPPN83NC891,920,2021-04-04,Success,2021-04-04,2021-04-05
MPAC06IA292,476,2022-11-28,Canceled,2022-11-28,2022-11-28
MNOC95IA500,83,2021-10-18,Success,2021-10-18,2021-10-19
NOII68OO204,26,2022-05-29,Success,2022-05-29,2022-05-30
MICC97NI116,349,2021-03-10,Canceled,2021-03-10,2021-03-10
AACP77AC250,371,2022-02-23,Success,2022-02-23,2022-02-24
MAOI86CA351,724,2021-03-08,Success,2021-03-08,2021-03-09
CANP49AM465,780,2022-01-18,Canceled,2022-01-18,2022-01-18
CIIN71MA273,184,2022-07-13,Success,2022-07-13,2022-07-14
MCOM31AO664,21,2022-10-22,Success,2022-10-22,2022-10-23
PAMN72MA968,883,2021-07-21,Success,2021-07-21,2021-07-22
INCA19PM526,105,2021-10-13,Success,2021-10-13,2021-10-14
IONA75PN485,329,2021-07-28,Success,2021-07-28,2021-07-29
CPPM61IM391,723,2022-05-22,Success,2022-05-22,2022-05-23
MCNI44MM309,316,2022-02-22,Success,2022-02-22,2022-02-23
OPCO30CM973,165,2021-08-13,Success,2021-08-13,2021-08-14
IIOA20OI253,349,2021-12-16,Success,2021-12-16,2021-12-17
PONA26AP083,664,2022-07-12,Success,2022-07-12,2022-07-13
PINI36II653,574,2022-07-16,Success,2022-07-16,2022-07-17
AAPP19AN194,494,2021-03-02,Success,2021-03-02,2021-03-03
PAAA29IC843,867,2022-04-20,Success,2022-04-20,2022-04-21
IAOO30PP903,402,2022-09-22,Success,2022-09-22,2022-09-23
NIMA82OA664,660,2022-01-06,Success,2022-01-06,2022-01-07
IMCO42IP168,371,2022-02-15,Success,2022-02-15,2022-02-16
NNPC58IO750,793,2021-03-03,Success,2021-03-03,2021-03-04
CCAC79AA580,988,2021-06-25,Success,2021-06-25,2021-06-26
OAIA90PO644,357,2022-09-02,Success,2022-09-02,2022-09-03
MIAC36AA596,460,2022-07-14,Success,2022-07-14,2022-07-15
AIIM14NO584,948,2022-10-31,Success,2022-10-31,2022-11-01
OIPI97AP918,902,2022-08-16,Success,2022-08-16,2022-08-17
OAMA60NA397,2,2022-12-23,Canceled,2022-12-23,2022-12-23
NAAP10MA445,54,2021-06-05,Success,2021-06-05,2021-06-06
CAOM46AA078,823,2021-06-28,Canceled,2021-06-28,2021-06-28
COIC13NI287,402,2021-07-29,Success,2021-07-29,2021-07-30
AMNA51CA703,434,2022-02-06,Success,2022-02-06,2022-02-07
MMAC02CC299,760,2022-02-03,Success,2022-02-03,2022-02-04
AOAP09AM727,119,2022-11-16,Success,2022-11-16,2022-11-17
AOOO98MM856,482,2021-09-12,Success,2021-09-12,2021-09-13
IION38CA762,217,2022-01-14,Success,2022-01-14,2022-01-15
NOCO41II376,728,2021-12-11,Success,2021-12-11,2021-12-12
ICMA25AN058,947,2021-04-03,Success,2021-04-03,2021-04-04
AAMO30NA843,437,2022-04-19,Success,2022-04-19,2022-04-20
AACA97NA367,779,2021-04-06,Success,2021-04-06,2021-04-07
AAAM07NN991,454,2022-07-31,Success,2022-07-31,2022-08-01
AIAI27IA833,380,2022-01-17,Canceled,2022-01-17,2022-01-17
CCCC95MA396,536,2022-12-10,Success,2022-12-10,2022-12-11
CANA63MP740,374,2021-09-08,Success,2021-09-08,2021-09-09
AAMP13CO060,472,2021-08-05,Success,2021-08-05,2021-08-06
PAAP17IA250,420,2021-09-24,Success,2021-09-24,2021-09-25
NAPP36PM708,151,2021-07-02,Success,2021-07-02,2021-07-03
PONO84AP707,435,2022-01-11,Success,2022-01-11,2022-01-12
IANA12AA070,149,2021-04-10,Success,2021-04-10,2021-04-11
CIOA69PO987,117,2021-12-13,Success,2021-12-13,2021-12-14
NACO19AO374,410,2022-06-15,Success,2022-06-15,2022-06-16
NPOI68MO294,325,2021-01-25,Success,2021-01-25,2021-01-26
